Key,Item Type,Publication Year,Author,Title,Data Source (Parameterization),Model Objective (optional),Sensitivity Analysis,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Who?,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author
9D8JUUVQ,journalArticle,2024,E. Alvarez; J. G. Brida; N. Garrido,Crowding Types and Price Dynamics in Tourism Destinations Choice,Theoretical (literature),"Exploratory, Decision Support / Policy Evaluation","NA, Exploratory / Scenario-based",IEEE Transactions on Computational Social Systems,,2329-924X     VO  - 11,10.1109/TCSS.2022.3230201,,"This article analyzes how the preferences of tourists for types of resorts, crowding types of tourists, and the pricing strategies of the resorts interact to determine the occupancy rate, price, and distribution of welfare in the market of resorts. The model captures the process of acquisition of information of the consumers for making the choice of resorts and a dynamic strategy adopted by the resorts to manage their revenue. After describing the difficulties to introduce an analytical description of the model, an agent-based model (ABM) is presented to explore the properties of the market. The study shows that crowding types of tourists in destinations together with a very simple revenue management heuristic can produce counterintuitive results affecting the distribution of surplus in the markets. When all the managers in a market overreact by raising prices as consequence of a high occupancy rate, they appropriate a larger portion of the surplus of the market. When managers are risk-averse and rapidly reduce prices when occupancy is low, they deliver more welfare to tourists.",Thiago,2024,2026-03-17 21:30:23,2026-03-17 21:30:23,,197-206,,1,11,IEEE Transactions on Computational Social Systems,,,,,,,,,,,,rayyan-448617803,,,,,,,Costs; price dynamics; complex systems; Analytical models; Adaptation models; Complex systems; Games; Behavioral sciences; Agent-based models (ABMs); crowding types; Pricing; tourism destinations,,,,,,,
GG8VFJQX,journalArticle,2025,L. M. Pantoja-Rojas; M. A. Alzate-Monroy; V. H. Medina-Garcãa; L. G. Moreno-Sandoval,Cognitive Agent-Based Modeling to Optimize Complex Project Management Under Uncertainty,Theoretical (literature),Exploratory,"Global (Variance-based), Global (Screening)",IEEE Access,,2169-3536     VO  - 13,10.1109/ACCESS.2025.3588816,,"This paper presents an agent-based simulation model with cognitive elements, developed to explore strategies for managing complex projects under uncertainty. The model was implemented using NetLogo, which provided a matrix-structured environment where agents—identified as assigners and workers—interact based on factors such as expertise level, intensity of collaboration, frequency of task rotation, and workload balance. The system was simulated over 100 time steps, allowing the identification of behavioral patterns related to organizational learning and performance under varied experimental conditions. Methodologically, the model integrates mechanisms for distributing tasks, rules for agent assignment, adjustable collaboration ranges, and decision-making based on utility functions. Cognitive aspects are addressed through decentralized decision processes and adaptive behaviors that evolve during the simulation. A total of eight configurations were analyzed, varying turnover rates, collaboration distances, and the initial competencies of the agents to assess how these variables influence the accumulation of experience and project effectiveness. The results indicate that when agents build up experience over time, project outcomes improve, following a growth curve with diminishing marginal returns. Conversely, high turnover interferes with knowledge retention and weakens learning processes. Additionally, too much collaboration can overwhelm highly connected agents, thereby decreasing the system’s overall efficiency. Statistical validation was carried out through ANOVA and Spearman’s correlation tests, confirming the consistency and relevance of the observed effects. Overall, the study underscores the importance of organizational continuity and the thoughtful design of collaboration parameters to achieve efficient performance in complex project settings. The proposed model serves as a useful framework for examining how task distribution, talent retention, and interaction patterns can be optimized, and it opens the door to future developments involving more advanced cognitive modeling techniques.",Thiago,2025,2026-03-17 21:30:23,2026-03-17 21:30:23,,127263-127279,,,13,IEEE Access,,,,,,,,,,,,rayyan-448617858,,,,,C:\Users\Thiago\Zotero\storage\8V9GC9YF\L. M. Pantoja-Rojas et al. - 2025 - Cognitive Agent-Based Modeling to Optimize Complex Project Management Under Uncertainty.pdf,,Simulation; Uncertainty; Agent-based modeling; Decision making; Costs; adaptation; Adaptation models; Collaboration; Project management; Complexity theory; Adaptive systems; Complex systems; knowledge management; personnel management; project analysis,,,,,,,
9CLYR4IQ,journalArticle,2025,"S-Alotibi, Y.S.",A socio-technical agent-based simulation model for predicting smart agriculture adoption dynamics,"Theoretical (literature), Empirical (macro)","Predictive, Decision Support / Policy Evaluation","Exploratory / Scenario-based, Regression / Statistical Inference",Scientific Reports,,,10.1038/s41598-025-27523-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024365660&doi=10.1038%2Fs41598-025-27523-7&partnerID=40&md5=a8bffe4241207ec605d554203b9140a5,"Traditional technology adoption models in agriculture fail to adequately capture the complex interplay of socio-technical factors that drive farmer decision-making, resulting in limited predictive accuracy and insufficient understanding of diffusion dynamics. Existing approaches predominantly rely on static econometric frameworks or simplified diffusion models that overlook the dynamic social interactions, trust networks, and heterogeneous decision-making processes that characterize real-world agricultural technology adoption. This gap hinders effective policy design and technology deployment strategies. To address these limitations, this paper presents AdoptAgriSim, a Socio-Technical Agent-Based Simulation Model for Predicting Smart Agriculture Adoption Dynamics, which integrates economic, social, and technological dimensions into a unified framework. The model employs multi-agent reinforcement learning and socio-economic network modelling to capture how individual farmers, peer networks, and market forces interact during the diffusion of technology. AdoptAgriSim incorporates a multi-objective decision mechanism that balances rational economic reasoning with social learning shaped by trust-based network structures. Using three real-world datasets from Iowa (USA), Europe, and India, the model achieves 94.2% prediction accuracy for five-year adoption intervals, outperforming existing diffusion and econometric models. It effectively reproduces emergent adoption behaviours such as technology clustering, peer-driven influence cascades, and region-specific diffusion trajectories. Significant contributions include1: a socio-technical model integrating multi-dimensional decision factors2; a reinforcement-based optimiser that accounts for both economic and non-economic objectives3; dynamic network evolution mechanisms reflecting real-world social interactions; and4 extensive validation across diverse agricultural contexts. Results show that social factors contribute 34% more to adoption variance than previously estimated, underscoring the centrality of peer influence and trust networks in accelerating the diffusion of technology. The proposed framework offers valuable insights for policymakers and technology designers, highlighting that strengthening social connectivity and targeted network interventions can substantially accelerate sustainable agricultural transformation. © The Author(s) 2025.",Thiago,2025,2026-03-17 21:30:23,2026-03-17 21:30:23,,,,1,15,,,,,,,,,,,,,rayyan-448617909,,,,,,,Agent-based modeling; Agricultural innovation; Multi-agent reinforcement learning; Precision farming; Simulation modeling; Smart agriculture; Social networks; Socio-technical systems; Technology adoption,,,,,,,
NWY6NVW2,journalArticle,2025,"Kolic, B.; Cebrían, M.; Ucar, I.; Lillo, R.E.",Incentivized network dynamics in digital job recruitment,Hybrid,"Exploratory, Theoretical / Illustrative",Exploratory / Scenario-based,Journal of Complex Networks,,,10.1093/comnet/cnaf047,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022513451&doi=10.1093%2Fcomnet%2Fcnaf047&partnerID=40&md5=e68f71ffb6280dc4927ffa99b1d1d48e,"Recruiting passive candidates, i.e. individuals not actively seeking jobs but open to compelling opportunities, remains one of the hardest challenges in digital recruitment. Motivated by a real collaboration with an industry partner, we introduce the Independent Halting Cascade (IHC) model: a simple but rich agent-based framework that couples network diffusion with the possibility of halting through job applications. Agents can either recommend vacancies to peers or apply themselves, and incentives increase the likelihood of recommendation, mobilizing otherwise passive candidates. The IHC bridges research on social network diffusion, coordinated task completion, and labor economics by modeling heterogeneous skills, job specificities, and network structures, including homophily. We derive analytical boundaries that characterize diffusion and failure regimes, and we show through simulations that the IHC reproduces the empirical chain-length distributions of Travers and Milgram and Dodds with only coarse calibration. Across synthetic (ER, BA, homophilic) and real networks (SMS, e-mail, Twitter), the IHC achieves comparable or higher success rates than direct-recommendation baselines, while requiring fewer applicants. Our findings suggest that the IHC captures core mechanisms of coordinated task completion, offering both a theoretical contribution and a practical foundation for recruitment systems designed to reach and engage passive candidates. © 2025 The Author(s). Published by Oxford University Press. All rights reserved.",Thiago,2025,2026-03-17 21:30:23,2026-03-17 21:30:23,,,,6,13,,,,,,,,,,,,,rayyan-448617911,,,,,C:\Users\Thiago\Zotero\storage\K3TMVVWJ\Kolic et al. - 2025 - Incentivized network dynamics in digital job recruitment.pdf,,agent-based modeling; coordinated task completion; digital hiring; economic incentives; independent halting cascade (IHC) model; information propagation; job recruitment; network diffusion; passive candidates; social networks,,,,,,,
KJMJV45A,journalArticle,2025,"de Keyser, E.; Farahbakhsh, S.; Mathijs, E.; Vranken, L.",Farmers’ decision-making dynamics in bio-based fertilizer adoption: an agent-based model,Empirical (micro),Exploratory,Exploratory / Scenario-based,Agricultural and Food Economics,,,10.1186/s40100-025-00374-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008688394&doi=10.1186%2Fs40100-025-00374-6&partnerID=40&md5=f9c9c0eae7932f4eab3159d4358cb618,"Bio-based fertilizer production can provide a technological solution to recover nutrients from organic waste streams while simultaneously offering an alternative to mineral fertilizers. Several researchers have investigated farmer preferences regarding bio-based fertilizers, but how bio-based fertilizer adoption might evolve with changing social and economic contexts remains uncertain. This study takes on an agent-based approach coupled with a linear programming framework to account for rational and behavioral factors. To explore the impact of parameters such as social networks and increases in energy prices on the adoption of bio-based fertilizers, we consider the decision-making process of farmers and the specifications of two main business models: stewardship based on farmers groupings and functionality-based existing intermunicipal companies. Results show both business models can be viable and their resulting bio-based fertilizers can be preferred by farmers; however, their attractiveness is conditioned to different parameter configurations. For example, when energy prices increase, farmers may prefer a functionality business model led by an intermunicipal company rather than leading the production themselves. Regarding the farmers’ decision-making dynamics, results provide insights into the distribution of decision strategies, showing that farmers end up either repeating their previous decisions or economically optimizing their fertilizer use. Overall, based on the results, we argue that there is a promising case for anaerobically digesting and composting crop residues in cooperation with waste treatment companies. The study strengthens the idea that bio-based fertilizers can play a role in conventional Flemish horticulture. The findings will be of interest to policymakers, informing them about the relevant parameters to be considered in the design of policies targeting nutrient circularity or identifying alternatives to mineral fertilizers and manure. © The Author(s) 2025.",Thiago,2025,2026-03-17 21:30:23,2026-03-17 21:30:23,,,,1,13,,,,,,,,,,,,,rayyan-448617927,,,,,C:\Users\Thiago\Zotero\storage\A5GI4GHR\de Keyser et al. - 2025 - Farmers’ decision-making dynamics in bio-based fertilizer adoption an agent-based model.pdf,,Agent-based model; Anaerobic digestion; Bio-based fertilizers; Business models; Composting,,,,,,,
F9LTUUF9,journalArticle,2025,"Best, K.; Gilligan, J.; Mallick, B.",Economic inequality is a crucial determinant of observed patterns of environmental migration,"Empirical (micro), Hybrid","Exploratory, Explanatory","Global (Variance-based), Exploratory / Scenario-based",Communications Earth and Environment,,,10.1038/s43247-025-02177-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000057701&doi=10.1038%2Fs43247-025-02177-5&partnerID=40&md5=27c388e752a9bf16e3496b6fd468e8ac,"Environmental migration occurs across spatial and temporal scales and is influenced by the dynamics of individual and collective human behavior, as well as environmental stresses. Agent-based modeling (ABM) has demonstrated potential for studying such complex processes, especially where individual decision-making is important. We developed an ABM to simulate environmental shocks, labor markets, and household livelihoods and used it to study environmental migration in rural Bangladesh. Using a pattern-oriented modeling approach, we found that an economic model of migration decisions can robustly reproduce observed patterns so long as economic inequality is properly represented. The results were sensitive to both the functional form and the parameters characterizing the distribution of land-ownership within a community. We conclude that community-level inequality has significant implications for environmental migration dynamics and should be considered in future policy interventions and research efforts. © The Author(s) 2025.",Thiago,2025,2026-03-17 21:30:23,2026-03-17 21:30:23,,,,1,6,,,,,,,,,,,,,rayyan-448617928,,,,,C:\Users\Thiago\Zotero\storage\YRDVU2HM\Best et al. - 2025 - Economic inequality is a crucial determinant of observed patterns of environmental migration.pdf,,,,,,,,,
CP9QKN4J,journalArticle,2025,"Hou, W.; Peng, D.; Chu, J.; Jiang, Y.; Chen, Y.; Chen, F.",Building an Agent-Based Simulation Framework of Smartphone Reuse and Recycling: Integrating Privacy Concern and Behavioral Norms,Hybrid,Decision Support / Policy Evaluation,Exploratory / Scenario-based,Sustainability (Switzerland),,,10.3390/su17156885,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013106686&doi=10.3390%2Fsu17156885&partnerID=40&md5=2f049807924c1491ee2655d6fcc28877,"The rapid proliferation of electronic waste, driven by the short lifecycle of smartphones and planned obsolescence strategies, presents escalating global environmental challenges. To address these issues from a systems perspective, this study develops an agent-based modeling (ABM) framework that simulates consumer decisions and stakeholder interactions within the smartphone reuse and recycling ecosystem. The model incorporates key behavioral drivers—privacy concerns, moral norms, and financial incentives—to examine how social and economic factors shape consumer behavior. Four primary agent types—consumers, manufacturers, recyclers, and second-hand retailers—are modeled to capture complex feedback and market dynamics. Calibrated using empirical data from Jiangsu Province, China, the simulation reveals a dominant consumer tendency to store obsolete smartphones rather than engage in reuse or formal recycling. However, the introduction of government subsidies significantly shifts behavior, doubling participation in second-hand markets and markedly improving recycling rates. These results highlight the value of integrating behavioral insights into environmental modeling to inform circular economy strategies. By offering a flexible and behaviorally grounded simulation tool, this study supports the design of more effective policies for promoting responsible smartphone disposal and lifecycle extension. © 2025 by the authors.",Thiago,2025,2026-03-17 21:30:23,2026-03-17 21:30:23,,,,15,17,,,,,,,,,,,,,rayyan-448617976,,,,,C:\Users\Thiago\Zotero\storage\GPTFPCU3\Hou et al. - 2025 - Building an Agent-Based Simulation Framework of Smartphone Reuse and Recycling Integrating Privacy.pdf,,agent-based modeling; circular economy; consumer behavior; privacy concern; smartphone recycling,,,,,,,
LRUM2PCN,journalArticle,2025,"Fani, V.; Acerbi, F.; de Oliveira Quadras, D.L.; Bandinelli, R.",Advancing pharmaceutical waste management: An agent-based approach to enhance consumer participation in circular economy,Empirical (micro),Decision Support / Policy Evaluation,Exploratory / Scenario-based,Waste Management,,,10.1016/j.wasman.2025.114980,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009218446&doi=10.1016%2Fj.wasman.2025.114980&partnerID=40&md5=76ffbea81c3872fad50ed6ded655458b,"The circular economy has emerged as a sustainable alternative to the traditional linear model. However, its application within the pharmaceutical sector remains underexplored, despite the significant environmental and social impact associated with the improper disposal of medications. This study addresses critical gaps in the literature by examining consumer behavior and return management dynamics, often overlooked in existing research. We propose an Agent-Based Modeling (ABM) approach to simulate the purchasing, usage, and disposal behaviors of consumers, aiming to evaluate the effectiveness of various strategies designed to enhance medication return systems. These strategies include consumer education on environmental risks and social benefits, pharmacist training, and expanding collection infrastructure. The model is informed by empirical data collected in a specific geographical context (Florence, Italy), reflecting the behavioral and infrastructural characteristics of the local population. The novelty of this work lies in the integration of behavioral, spatial, and strategic dimensions within a single ABM framework, applied for the first time in the pharmaceutical domain. Although implemented in a localized setting, the model's structure and parameters are designed to be adaptable to other regions or countries, allowing for tailored applications based on local conditions. From a practical perspective, the model serves as a decision-support tool for policymakers and local authorities, facilitating the comparison of strategies according to behavioral profiles and infrastructure constraints. By identifying context-specific levers for intervention, this study contributes to the development of more effective and targeted initiatives for pharmaceutical waste management that support broader circular economy objectives and public health protection. © 2025 The Authors",Thiago,2025,2026-03-17 21:30:23,2026-03-17 21:30:23,,,,,205,,,,,,,,,,,,,rayyan-448617978,,,,,C:\Users\Thiago\Zotero\storage\C6VXXJGK\Fani et al. - 2025 - Advancing pharmaceutical waste management An agent-based approach to enhance consumer participation.pdf,,Simulation; Agent-based modelling; Sustainability; Circular economy; Healthcare; Return management,,,,,,,
XQB8WN6N,journalArticle,2025,"Pishahang, M.; Ruiz-Tagle, A.; Ramos, M.A.; López Droguett, E.L.; Mosleh, A.",A Bayesian agent-based model and software for wildfire safe evacuation planning and management,,,,"Proceedings of the Institution of Mechanical Engineers, Part O: Journal of Risk and Reliability",,,10.1177/1748006X241259215,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200007448&doi=10.1177%2F1748006X241259215&partnerID=40&md5=632a2263210977bf73c72ab751c13e6d,"Efficient evacuation of wildfire-threatened communities is a pressing challenge. A reliable evacuation planning and execution requires a comprehensive understanding of the diverse and interdependent physical, social, and behavioral components, and advanced, yet easy to use decision support system. This paper proposes the Wildfire Safe Egress (WiSE) framework, which integrates the fire dynamics, human behavior, and traffic model to predict the chance of safe egress by any given community during a wildfire evacuation. WISE framework presents a unified dependency diagram and workflow offering consistent granularity between sub-models and creates comparable evacuation scenarios. A human behavior model is proposed to predict the community decision making and action based on their socio-demographic vulnerability profile. An agent-based stochastic approach generates evacuation departure times. The travel times are calculated through a congestion-informed traffic simulation. Finally, a Bayesian Network is used to combine the sub-models and to predict community safety (probability of successful evacuation) via probabilistic inference based on the integrated model. A proof-of-concept software implementation of the WiSE framework is also presented. To demonstrate the model and platform capabilities the evacuation of the entire city of Paradise during the California Camp Fire 2018 is simulated. The simulation results are qualitatively validated by the firefighters who served in this disaster. A sensitivity analysis of the parameters is performed to compare several evacuation scenarios and provide insights for future wildfire evacuation plannings. © IMechE 2024.",Thiago,2025,2026-03-17 21:30:23,2026-03-17 21:30:23,,515-534,,3,239,,,,,,,,,,,,,rayyan-448617999,,,,,,,Bayesian network; evacuation; Wildfire; wildfire egress; wildland urban interface (WUI),,,,,,,
YA6NAIIL,journalArticle,2025,"Kim, Y.",The Influence of Conformity and Global Learning on Social Systems of Cooperation: Agent-Based Models of the Spatial Prisoner’s Dilemma Game,Theoretical (literature),"Exploratory, Theoretical / Illustrative","Regression / Statistical Inference, Exploratory / Scenario-based",Systems,,,10.3390/systems13040288,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003576262&doi=10.3390%2Fsystems13040288&partnerID=40&md5=d46c45c48206545aba5f9355dbf549be,"Individuals can learn about others from sources far from them, and conformity can operate not only on a local scale but also on a global scale. This study aimed to investigate the influence of conformity and global learning on social systems of cooperation using agent-based models of the spatial prisoner’s dilemma game. Three agent-based models incorporating differing types of global conformity were built and analyzed. The results suggested that global learning was generally unfavorable for cooperation. However, in some cases, it enabled resistance to the dominance of defection. Moreover, referring to more diverse sources was less harmful to cooperation than referring to a larger number of similar sources. Evolutionary dynamics were generated according to how competing forces of cooperative and defective agents were balanced. Random drifts toward either the cooperation- or defection-dominant state occurred under some parameter conditions. Whether the drifts were equally or unequally probable toward either state differed according to the parameter conditions. This study highlights the importance of individuals’ psychological biases in the evolution of cooperation. It also shows that differing practices of those biases can generate different dynamics, resulting in the system having different states. © 2025 by the author.",Thiago,2025,2026-03-17 21:30:23,2026-03-17 21:30:23,,,,4,13,,,,,,,,,,,,,rayyan-448618011,,,,,C:\Users\Thiago\Zotero\storage\5C2885GB\Kim - 2025 - The Influence of Conformity and Global Learning on Social Systems of Cooperation Agent-Based Models.pdf,,agent-based model; evolutionary game; conformity; global learning; social system,,,,,,,
