source,target,weight
agent-based modeling,simulation,9
agent-based modeling,decision-making,9
agent-based modeling,complex systems,8
agent-based modeling,validation,7
agent-based modeling,land-use change,6
agent-based modeling,sensitivity analysis,5
agent-based modeling,social influence,4
agent-based modeling,climate change,4
agent-based modeling,covid-19,4
agent-based modeling,migration,4
agent-based modeling,uncertainty,4
agent-based modeling,calibration,4
agent-based modeling,flood risk,4
agent-based modeling,housing market,3
agent-based modeling,innovation,3
agent-based modeling,netlogo,3
agent-based modeling,policy evaluation,3
agent-based modeling,water market,3
agent-based modeling,population dynamics,3
agent-based modeling,data assimilation,3
agent-based modeling,socio-hydrology,3
agent-based modeling,computer simulation,3
agent-based modeling,model calibration,3
agent-based modeling,social networks,3
agent-based modeling,circular economy,3
agent-based modeling,model validation,3
agent-based modeling,opinion dynamics,3
agent-based modeling,sustainable development,3
agent-based modeling,social network,3
agent-based modeling,flood risk management,2
agent-based modeling,rational choice theory,2
agent-based modeling,climate change adaptation,2
simulation,sustainability,2
agent-based modeling,computational social science,2
agent-based modeling,social dilemma,2
opinion dynamics,public opinion,2
agent-based modeling,consumer behavior,2
agent-based modeling,sustainability,2
adaptation models,complex systems,2
adaptation models,costs,2
complex systems,decision-making,2
decision-making,uncertainty,2
agent-based modeling,multi-agent reinforcement learning,2
agent-based modeling,technology adoption,2
complex systems,costs,2
agent-based modeling,fisheries,2
agent-based modeling,critical phenomena of socio-economic systems,2
agent-based modeling,complexity,2
agent-based modeling,social simulation,2
agent-based modeling,biodiversity,2
agent-based modeling,network effects,2
complex systems,data assimilation,2
review,sensitivity analysis,2
individual-based model,sensitivity analysis,2
individual-based model,review,2
agent-based modeling,multi-agent systems,2
agent-based modeling,spatial segregation,2
agent-based modeling,life cycle assessment,2
agent-based modeling,social interaction,2
agent-based modeling,consumer behaviour,2
agent-based modeling,compliance,2
agent-based modeling,socio-economic networks,2
agent-based modeling,complex network,2
agent-based modeling,complex adaptive systems,2
agent-based modeling,complex networks,2
agent-based modeling,energy price shocks,2
agent-based modeling,inflation,2
agent-based modeling,mekong delta,2
energy price shocks,inflation,2
agent-based modeling,public space,2
agent-based modeling,urbanization,2
agent-based modeling,public policies,2
agent-based modeling,contagion,2
agent-based modeling,electric vehicle,2
agent-based modeling,urban planning,2
agent-based modeling,game theory,2
agent-based modeling,cloud model,2
agent-based modeling,urban pluvial flooding,2
cloud model,urban pluvial flooding,2
cloud model,flood risk,2
agent-based modeling,inequality,2
agent-based modeling,sociology,2
agent-based modeling,social norms,2
flood risk,urban pluvial flooding,2
agent-based modeling,decision support,2
adaptive learning,agent-based modeling,2
agent-based modeling,simulation validation,2
agent-based modeling,cellular automata,2
agent-based modeling,human decision-making,2
agent-based modeling,odd protocol,2
agent-based modeling,global sensitivity analysis,2
agent-based modeling,irrigation,2
