keyword,degree,weighted_degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,community
agent-based modeling,82,231,0.9213483146067416,0.9440755873340143,0.9244015632633121,0.6963663884491298,0.0012891720350769328,2
complex systems,8,23,0.0898876404494382,0.059414368403132606,0.5032245196463,0.24791287016406582,0.09862408062733896,0
decision-making,3,13,0.033707865168539325,0.0015321756894790604,0.4887640449438202,0.23189660177811824,0.32038431415334095,3
simulation,2,12,0.02247191011235955,0.0,0.4804799085888402,0.23550016456722314,0.34199518933533946,2
complexity,4,9,0.0449438202247191,0.0,0.4915892706371371,0.09573088132040275,0.23931033533163246,0
sensitivity analysis,3,9,0.033707865168539325,0.04341164453524004,0.4887640449438202,0.11679742902604964,0.06666666666666667,6
school segregation,4,8,0.0449438202247191,0.03698501872659179,0.4915892706371371,0.07403429750705624,0.2265225955666882,0
school choice,4,8,0.0449438202247191,0.03698501872659179,0.4915892706371371,0.07403429750705624,0.2265225955666882,0
flood risk,3,8,0.033707865168539325,0.0,0.4832099080694586,0.10008955118829342,0.2346561399859831,1
validation,1,7,0.011235955056179775,0.0,0.47778058325968936,0.16196928847469733,0.0,2
land-use change,1,6,0.011235955056179775,0.0,0.47778058325968936,0.1388308186925977,0.0,2
uncertainty,2,6,0.02247191011235955,0.006724548859380336,0.4804799085888402,0.10796491964778936,0.41601676461038084,3
cloud model,3,6,0.033707865168539325,0.007235274089206676,0.4832099080694586,0.05669638356160044,0.21732806999299156,1
urban pluvial flooding,3,6,0.033707865168539325,0.007235274089206676,0.4832099080694586,0.05669638356160044,0.21732806999299156,1
social influence,1,5,0.011235955056179775,0.0,0.47778058325968936,0.11569234891049808,0.0,2
data assimilation,2,5,0.02247191011235955,0.0,0.48597110754414125,0.08589081889525739,0.377976314968462,0
opinion dynamics,2,5,0.02247191011235955,0.021961184882533197,0.4832099080694586,0.06972333304847902,0.0,5
calibration,1,4,0.011235955056179775,0.0,0.47778058325968936,0.09255387912839846,0.0,2
sustainability,2,4,0.02247191011235955,0.021961184882533197,0.4804799085888402,0.06192749406045118,0.34199518933533946,2
costs,2,4,0.02247191011235955,0.0,0.3348226134654516,0.017648224579260453,0.2,0
migration,1,4,0.011235955056179775,0.0,0.47778058325968936,0.09255387912839846,0.0,2
energy price shocks,2,4,0.02247191011235955,0.0,0.4804799085888402,0.04957127643794572,0.2,7
review,2,4,0.02247191011235955,0.0,0.3283588564487441,0.00831450995931716,0.2,6
individual-based model,2,4,0.02247191011235955,0.0,0.3283588564487441,0.00831450995931716,0.2,6
covid-19,1,4,0.011235955056179775,0.0,0.47778058325968936,0.09255387912839846,0.0,2
adaptation models,2,4,0.02247191011235955,0.0,0.3348226134654516,0.017648224579260453,0.2,0
inflation,2,4,0.02247191011235955,0.0,0.4804799085888402,0.04957127643794572,0.2,7
climate change,1,4,0.011235955056179775,0.0,0.47778058325968936,0.09255387912839846,0.0,2
innovation,1,4,0.011235955056179775,0.0,0.47778058325968936,0.09255387912839846,0.0,2
population dynamics,1,3,0.011235955056179775,0.0,0.47778058325968936,0.06941540934629885,0.0,2
computer simulation,1,3,0.011235955056179775,0.0,0.47778058325968936,0.06941540934629885,0.0,2
housing market,1,3,0.011235955056179775,0.0,0.47778058325968936,0.06941540934629885,0.0,2
model calibration,1,3,0.011235955056179775,0.0,0.47778058325968936,0.06941540934629885,0.0,2
policy evaluation,1,3,0.011235955056179775,0.0,0.47778058325968936,0.06941540934629885,0.0,2
water market,1,3,0.011235955056179775,0.0,0.47778058325968936,0.06941540934629885,0.0,2
sustainable development,1,3,0.011235955056179775,0.0,0.47778058325968936,0.06941540934629885,0.0,2
social network,1,3,0.011235955056179775,0.0,0.47778058325968936,0.06941540934629885,0.0,2
socio-hydrology,1,3,0.011235955056179775,0.0,0.47778058325968936,0.06941540934629885,0.0,2
circular economy,1,3,0.011235955056179775,0.0,0.47778058325968936,0.06941540934629885,0.0,2
social networks,1,3,0.011235955056179775,0.0,0.47778058325968936,0.06941540934629885,0.0,2
netlogo,1,3,0.011235955056179775,0.0,0.47778058325968936,0.06941540934629885,0.0,2
model validation,1,3,0.011235955056179775,0.0,0.47778058325968936,0.06941540934629885,0.0,2
climate change adaptation,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
rational choice theory,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
flood risk management,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
fisheries,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
public opinion,1,2,0.011235955056179775,0.0,0.32459902221459813,0.004633581608439546,0.0,5
climate-change impacts,1,2,0.011235955056179775,0.0,0.011235955056179775,3.659612014741383e-108,0.0,4
computational social science,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
social dilemma,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
climate-change adaptation,1,2,0.011235955056179775,0.0,0.011235955056179775,3.659612014741383e-108,0.0,4
consumer behavior,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
multi-agent reinforcement learning,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
technology adoption,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
social simulation,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
network effects,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
cooperation,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
consumer behaviour,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
spatial segregation,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
multi-agent systems,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
bayesian estimation,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
critical phenomena of socio-economic systems,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
biodiversity,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
social interaction,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
life cycle assessment,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
opinion formation,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
game theory,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
complex adaptive systems,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
mekong delta,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
complex networks,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
public space,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
compliance,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
socio-economic networks,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
complex network,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
contagion,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
public policies,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
urbanization,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
urban planning,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
inequality,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
sociology,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
social norms,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
electric vehicle,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
decision support,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
adaptive learning,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
simulation validation,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
cellular automata,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
human decision-making,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
odd protocol,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
global sensitivity analysis,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
irrigation,1,2,0.011235955056179775,0.0,0.47778058325968936,0.04627693956419923,0.0,2
