source,target,weight,dim_source,dim_target
Theoretical (literature),Decision Support / Policy Evaluation,15,Data Source (Parameterization),Model Objective (optional)
Theoretical (literature),Exploratory,18,Data Source (Parameterization),Model Objective (optional)
Theoretical (literature),Predictive,2,Data Source (Parameterization),Model Objective (optional)
Empirical (macro),Predictive,6,Data Source (Parameterization),Model Objective (optional)
Empirical (macro),Decision Support / Policy Evaluation,18,Data Source (Parameterization),Model Objective (optional)
Hybrid,Theoretical / Illustrative,8,Data Source (Parameterization),Model Objective (optional)
Hybrid,Exploratory,23,Data Source (Parameterization),Model Objective (optional)
Empirical (micro),Exploratory,20,Data Source (Parameterization),Model Objective (optional)
Empirical (micro),Explanatory,25,Data Source (Parameterization),Model Objective (optional)
Hybrid,Explanatory,34,Data Source (Parameterization),Model Objective (optional)
Hybrid,Decision Support / Policy Evaluation,99,Data Source (Parameterization),Model Objective (optional)
Empirical (micro),Decision Support / Policy Evaluation,56,Data Source (Parameterization),Model Objective (optional)
Theoretical (literature),Theoretical / Illustrative,41,Data Source (Parameterization),Model Objective (optional)
Hybrid,Predictive,22,Data Source (Parameterization),Model Objective (optional)
Empirical (micro),Predictive,19,Data Source (Parameterization),Model Objective (optional)
"participatory)""",Decision Support / Policy Evaluation,8,Data Source (Parameterization),Model Objective (optional)
"""Expert-based (qualitative",Decision Support / Policy Evaluation,8,Data Source (Parameterization),Model Objective (optional)
interview,Decision Support / Policy Evaluation,8,Data Source (Parameterization),Model Objective (optional)
Empirical (macro),Exploratory,6,Data Source (Parameterization),Model Objective (optional)
Empirical (micro),Descriptive / Phenomena-based,7,Data Source (Parameterization),Model Objective (optional)
Theoretical (literature),Explanatory,22,Data Source (Parameterization),Model Objective (optional)
Empirical (macro),Explanatory,16,Data Source (Parameterization),Model Objective (optional)
"""Synthetic (machine learning",Descriptive / Phenomena-based,2,Data Source (Parameterization),Model Objective (optional)
Empirical (macro),Descriptive / Phenomena-based,5,Data Source (Parameterization),Model Objective (optional)
"other)""",Descriptive / Phenomena-based,2,Data Source (Parameterization),Model Objective (optional)
AI,Descriptive / Phenomena-based,2,Data Source (Parameterization),Model Objective (optional)
"""Synthetic (machine learning",Explanatory,4,Data Source (Parameterization),Model Objective (optional)
"""Synthetic (machine learning",Theoretical / Illustrative,10,Data Source (Parameterization),Model Objective (optional)
"other)""",Explanatory,4,Data Source (Parameterization),Model Objective (optional)
"other)""",Theoretical / Illustrative,10,Data Source (Parameterization),Model Objective (optional)
AI,Explanatory,4,Data Source (Parameterization),Model Objective (optional)
AI,Theoretical / Illustrative,10,Data Source (Parameterization),Model Objective (optional)
"participatory)""",Exploratory,2,Data Source (Parameterization),Model Objective (optional)
"""Expert-based (qualitative",Exploratory,2,Data Source (Parameterization),Model Objective (optional)
interview,Exploratory,2,Data Source (Parameterization),Model Objective (optional)
"""Synthetic (machine learning",Predictive,5,Data Source (Parameterization),Model Objective (optional)
"other)""",Predictive,5,Data Source (Parameterization),Model Objective (optional)
AI,Predictive,5,Data Source (Parameterization),Model Objective (optional)
Empirical (macro),Theoretical / Illustrative,2,Data Source (Parameterization),Model Objective (optional)
Empirical (micro),Theoretical / Illustrative,5,Data Source (Parameterization),Model Objective (optional)
Hybrid,Descriptive / Phenomena-based,6,Data Source (Parameterization),Model Objective (optional)
Theoretical (literature),Descriptive / Phenomena-based,4,Data Source (Parameterization),Model Objective (optional)
other),Decision Support / Policy Evaluation,1,Data Source (Parameterization),Model Objective (optional)
Synthetic (machine learning,Decision Support / Policy Evaluation,1,Data Source (Parameterization),Model Objective (optional)
AI,Decision Support / Policy Evaluation,9,Data Source (Parameterization),Model Objective (optional)
"participatory)""",Explanatory,1,Data Source (Parameterization),Model Objective (optional)
"""Expert-based (qualitative",Explanatory,1,Data Source (Parameterization),Model Objective (optional)
interview,Explanatory,1,Data Source (Parameterization),Model Objective (optional)
Empirical (micro),Communication / Education,1,Data Source (Parameterization),Model Objective (optional)
"participatory)""",Communication / Education,1,Data Source (Parameterization),Model Objective (optional)
"""Expert-based (qualitative",Communication / Education,1,Data Source (Parameterization),Model Objective (optional)
interview,Communication / Education,1,Data Source (Parameterization),Model Objective (optional)
"""Synthetic (machine learning",Decision Support / Policy Evaluation,8,Data Source (Parameterization),Model Objective (optional)
"other)""",Decision Support / Policy Evaluation,8,Data Source (Parameterization),Model Objective (optional)
interview,Predictive,3,Data Source (Parameterization),Model Objective (optional)
"participatory)""",Predictive,3,Data Source (Parameterization),Model Objective (optional)
"""Expert-based (qualitative",Predictive,3,Data Source (Parameterization),Model Objective (optional)
Theoretical (literature),Communication / Education,1,Data Source (Parameterization),Model Objective (optional)
"""Synthetic (machine learning",Exploratory,2,Data Source (Parameterization),Model Objective (optional)
"other)""",Exploratory,2,Data Source (Parameterization),Model Objective (optional)
AI,Exploratory,2,Data Source (Parameterization),Model Objective (optional)
