source,target,weight,dim_source,dim_target
Theoretical (literature),NA,1,Data Source (Parameterization),Sensitivity Analysis
Theoretical (literature),Exploratory / Scenario-based,39,Data Source (Parameterization),Sensitivity Analysis
Theoretical (literature),Global (Screening),5,Data Source (Parameterization),Sensitivity Analysis
Theoretical (literature),Global (Variance-based),4,Data Source (Parameterization),Sensitivity Analysis
Empirical (macro),Exploratory / Scenario-based,24,Data Source (Parameterization),Sensitivity Analysis
Empirical (macro),Regression / Statistical Inference,9,Data Source (Parameterization),Sensitivity Analysis
Theoretical (literature),Regression / Statistical Inference,18,Data Source (Parameterization),Sensitivity Analysis
Hybrid,Exploratory / Scenario-based,102,Data Source (Parameterization),Sensitivity Analysis
Empirical (micro),Exploratory / Scenario-based,59,Data Source (Parameterization),Sensitivity Analysis
Hybrid,Global (Variance-based),12,Data Source (Parameterization),Sensitivity Analysis
Empirical (micro),Global (Variance-based),8,Data Source (Parameterization),Sensitivity Analysis
Hybrid,Regression / Statistical Inference,31,Data Source (Parameterization),Sensitivity Analysis
Empirical (micro),Local (OAT/OFAT),19,Data Source (Parameterization),Sensitivity Analysis
Hybrid,Local (OAT/OFAT),42,Data Source (Parameterization),Sensitivity Analysis
"Expert-based (qualitative, interview, participatory)",Exploratory / Scenario-based,9,Data Source (Parameterization),Sensitivity Analysis
Empirical (micro),Regression / Statistical Inference,26,Data Source (Parameterization),Sensitivity Analysis
Empirical (macro),Local (OAT/OFAT),7,Data Source (Parameterization),Sensitivity Analysis
Theoretical (literature),Local (OAT/OFAT),19,Data Source (Parameterization),Sensitivity Analysis
Hybrid,Metamodeling / Surrogate,12,Data Source (Parameterization),Sensitivity Analysis
Empirical (macro),Global (Variance-based),6,Data Source (Parameterization),Sensitivity Analysis
Synthetic (machine learning and AI),Regression / Statistical Inference,9,Data Source (Parameterization),Sensitivity Analysis
Synthetic (machine learning and AI),Global (Variance-based),2,Data Source (Parameterization),Sensitivity Analysis
Theoretical (literature),Metamodeling / Surrogate,2,Data Source (Parameterization),Sensitivity Analysis
Synthetic (machine learning and AI),Local (OAT/OFAT),4,Data Source (Parameterization),Sensitivity Analysis
Synthetic (machine learning and AI),Exploratory / Scenario-based,14,Data Source (Parameterization),Sensitivity Analysis
"Expert-based (qualitative, interview, participatory)",Local (OAT/OFAT),3,Data Source (Parameterization),Sensitivity Analysis
"Expert-based (qualitative, interview, participatory)",Regression / Statistical Inference,2,Data Source (Parameterization),Sensitivity Analysis
Hybrid,Global (Screening),4,Data Source (Parameterization),Sensitivity Analysis
Empirical (macro),Metamodeling / Surrogate,1,Data Source (Parameterization),Sensitivity Analysis
Empirical (micro),Metamodeling / Surrogate,3,Data Source (Parameterization),Sensitivity Analysis
Synthetic (machine learning and AI),Metamodeling / Surrogate,2,Data Source (Parameterization),Sensitivity Analysis
Empirical (micro),Global (Screening),1,Data Source (Parameterization),Sensitivity Analysis
Empirical (macro),Global (Screening),2,Data Source (Parameterization),Sensitivity Analysis
"Expert-based (qualitative, interview, participatory)",Metamodeling / Surrogate,1,Data Source (Parameterization),Sensitivity Analysis
"Expert-based (qualitative, interview, participatory)",Global (Variance-based),1,Data Source (Parameterization),Sensitivity Analysis
Synthetic (machine learning and AI),Global (Screening),1,Data Source (Parameterization),Sensitivity Analysis
