source,target,weight,dim_source,dim_target
Decision Support / Policy Evaluation,NA,1,Model Objective (optional),Sensitivity Analysis
Decision Support / Policy Evaluation,Exploratory / Scenario-based,117,Model Objective (optional),Sensitivity Analysis
Exploratory,NA,1,Model Objective (optional),Sensitivity Analysis
Exploratory,Exploratory / Scenario-based,47,Model Objective (optional),Sensitivity Analysis
Exploratory,Global (Screening),2,Model Objective (optional),Sensitivity Analysis
Exploratory,Global (Variance-based),8,Model Objective (optional),Sensitivity Analysis
Predictive,Regression / Statistical Inference,22,Model Objective (optional),Sensitivity Analysis
Predictive,Exploratory / Scenario-based,23,Model Objective (optional),Sensitivity Analysis
Decision Support / Policy Evaluation,Regression / Statistical Inference,38,Model Objective (optional),Sensitivity Analysis
Theoretical / Illustrative,Exploratory / Scenario-based,30,Model Objective (optional),Sensitivity Analysis
Explanatory,Global (Variance-based),5,Model Objective (optional),Sensitivity Analysis
Explanatory,Exploratory / Scenario-based,57,Model Objective (optional),Sensitivity Analysis
Theoretical / Illustrative,Regression / Statistical Inference,11,Model Objective (optional),Sensitivity Analysis
Exploratory,Regression / Statistical Inference,6,Model Objective (optional),Sensitivity Analysis
Predictive,Local (OAT/OFAT),10,Model Objective (optional),Sensitivity Analysis
Decision Support / Policy Evaluation,Local (OAT/OFAT),41,Model Objective (optional),Sensitivity Analysis
Explanatory,Regression / Statistical Inference,16,Model Objective (optional),Sensitivity Analysis
Exploratory,Local (OAT/OFAT),19,Model Objective (optional),Sensitivity Analysis
Decision Support / Policy Evaluation,Global (Variance-based),16,Model Objective (optional),Sensitivity Analysis
Predictive,Global (Screening),2,Model Objective (optional),Sensitivity Analysis
Descriptive / Phenomena-based,Local (OAT/OFAT),5,Model Objective (optional),Sensitivity Analysis
Descriptive / Phenomena-based,Exploratory / Scenario-based,8,Model Objective (optional),Sensitivity Analysis
Decision Support / Policy Evaluation,Metamodeling / Surrogate,12,Model Objective (optional),Sensitivity Analysis
Descriptive / Phenomena-based,Regression / Statistical Inference,7,Model Objective (optional),Sensitivity Analysis
Theoretical / Illustrative,Global (Variance-based),3,Model Objective (optional),Sensitivity Analysis
Explanatory,Local (OAT/OFAT),24,Model Objective (optional),Sensitivity Analysis
Theoretical / Illustrative,Local (OAT/OFAT),18,Model Objective (optional),Sensitivity Analysis
Decision Support / Policy Evaluation,Global (Screening),7,Model Objective (optional),Sensitivity Analysis
Explanatory,Global (Screening),2,Model Objective (optional),Sensitivity Analysis
Theoretical / Illustrative,Metamodeling / Surrogate,2,Model Objective (optional),Sensitivity Analysis
Explanatory,Metamodeling / Surrogate,3,Model Objective (optional),Sensitivity Analysis
Communication / Education,Exploratory / Scenario-based,2,Model Objective (optional),Sensitivity Analysis
Predictive,Metamodeling / Surrogate,6,Model Objective (optional),Sensitivity Analysis
Theoretical / Illustrative,Global (Screening),1,Model Objective (optional),Sensitivity Analysis
Predictive,Global (Variance-based),4,Model Objective (optional),Sensitivity Analysis
