category,degree,weighted_degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,dimension
Exploratory / Scenario-based,23,657,0.92,0.11666666666666667,0.9259259259259259,0.5045822485911319,Sensitivity Analysis
Decision Support / Policy Evaluation,22,538,0.88,0.03666666666666667,0.8928571428571429,0.4530938319271922,Model Objective (optional)
Hybrid,20,450,0.8,0.0,0.8333333333333334,0.4108804463027659,Data Source (Parameterization)
Empirical (micro),21,318,0.84,0.0,0.8620689655172413,0.2703964352665563,Data Source (Parameterization)
Local (OAT/OFAT),21,290,0.84,0.0016666666666666668,0.8620689655172413,0.2517084221270109,Sensitivity Analysis
Regression / Statistical Inference,20,266,0.8,0.018333333333333333,0.8333333333333334,0.21384465771376315,Sensitivity Analysis
Explanatory,18,264,0.72,0.0,0.78125,0.22412746558265392,Model Objective (optional)
Theoretical (literature),20,225,0.8,0.1411904761904762,0.8333333333333334,0.1593435353437033,Data Source (Parameterization)
Exploratory,19,207,0.76,0.16138888888888892,0.8064516129032258,0.18883028384873396,Model Objective (optional)
Theoretical / Illustrative,16,177,0.64,0.05575396825396825,0.7352941176470589,0.12457812009632635,Model Objective (optional)
Predictive,19,171,0.76,0.05372222222222223,0.8064516129032258,0.14350778950098983,Model Objective (optional)
Empirical (macro),20,142,0.8,0.041166666666666664,0.8333333333333334,0.10550723125274199,Data Source (Parameterization)
AI,19,135,0.76,0.1872222222222222,0.8064516129032258,0.06807601090384031,Data Source (Parameterization)
"""Synthetic (machine learning",16,130,0.64,0.01111111111111111,0.7352941176470589,0.06640806469075783,Data Source (Parameterization)
"other)""",16,130,0.64,0.01111111111111111,0.7352941176470589,0.06640806469075783,Data Source (Parameterization)
Global (Variance-based),15,89,0.6,0.04297619047619048,0.7142857142857143,0.07571512272034354,Sensitivity Analysis
Metamodeling / Surrogate,15,74,0.6,0.010222222222222223,0.7142857142857143,0.05056853037154139,Sensitivity Analysis
"""Expert-based (qualitative",12,60,0.48,0.03768253968253968,0.625,0.04454173545363734,Data Source (Parameterization)
"participatory)""",12,60,0.48,0.03768253968253968,0.625,0.04454173545363734,Data Source (Parameterization)
interview,12,60,0.48,0.03768253968253968,0.625,0.04454173545363734,Data Source (Parameterization)
Descriptive / Phenomena-based,15,58,0.6,0.2016984126984127,0.7142857142857143,0.04454191714148692,Model Objective (optional)
Global (Screening),10,32,0.4,0.21900000000000003,0.5952380952380952,0.02895582730038048,Sensitivity Analysis
Communication / Education,2,4,0.08,0.006666666666666667,0.5,0.0056386817517464945,Model Objective (optional)
Synthetic (machine learning,2,2,0.08,0.0,0.46296296296296297,0.00020100381912007475,Data Source (Parameterization)
other),2,2,0.08,0.0,0.46296296296296297,0.00020100381912007475,Data Source (Parameterization)
NA,1,1,0.04,0.0,0.49019607843137253,0.0014854428840414481,Sensitivity Analysis
